City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches),Date
76,Jumla,NP,29.27,82.18,52.48,52.48,68,77,0.81,broken clouds,0.0,0.0,2020-05-29 15:51:28
77,Maragogi,BR,-9.01,-35.22,78.91,78.91,78,100,16.69,overcast clouds,0.0,0.0,2020-05-29 15:46:41
78,Bathsheba,BB,13.22,-59.52,87.8,87.8,62,40,20.8,scattered clouds,0.0,0.0,2020-05-29 15:41:29
79,Matara,LK,5.95,80.54,80.2,80.2,89,100,11.54,moderate rain,2.79,0.0,2020-05-29 15:51:28
80,Hondo,JP,32.45,130.2,69.01,69.01,77,16,8.99,few clouds,0.0,0.0,2020-05-29 15:51:28
81,Flinders,AU,-34.58,150.86,52.0,52.0,88,2,1.01,clear sky,0.0,0.0,2020-05-29 15:51:28
82,Puerto Ayora,EC,-0.74,-90.35,82.4,79.0,61,40,13.87,scattered clouds,0.0,0.0,2020-05-29 15:51:28
83,Yellowknife,CA,62.46,-114.35,36.0,33.8,64,20,3.36,few clouds,0.0,0.0,2020-05-29 15:51:28
84,Qaanaaq,GL,77.48,-69.36,32.34,32.34,90,48,2.53,scattered clouds,0.0,0.0,2020-05-29 15:51:28
85,Poum,NC,-20.23,164.02,75.65,75.65,80,26,12.77,scattered clouds,0.0,0.0,2020-05-29 15:51:29
86,Berlevag,NO,70.86,29.09,42.8,42.8,70,75,8.05,broken clouds,0.0,0.0,2020-05-29 15:51:29
87,Kavieng,PG,-2.57,150.8,82.13,82.13,72,100,5.3,overcast clouds,0.0,0.0,2020-05-29 15:51:29
88,Henderson,US,36.04,-114.98,91.4,87.8,11,1,4.7,clear sky,0.0,0.0,2020-05-29 15:51:29
89,Port Lincoln,AU,-34.73,135.87,61.66,61.66,49,0,23.29,clear sky,0.0,0.0,2020-05-29 15:51:29
90,Tasiilaq,GL,65.61,-37.64,37.4,37.4,93,75,4.7,fog,0.0,0.0,2020-05-29 15:51:29
91,Luba,GQ,3.46,8.55,82.4,82.4,94,40,10.29,scattered clouds,0.0,0.0,2020-05-29 15:51:29
92,Munger,IN,25.38,86.47,82.58,82.58,71,35,13.87,light rain,0.41,0.0,2020-05-29 15:51:30
93,Boundiali,CI,9.52,-6.49,93.36,93.36,41,100,6.89,overcast clouds,0.0,0.0,2020-05-29 15:51:30
94,Avarua,CK,-21.21,-159.78,78.8,78.8,94,49,4.7,scattered clouds,0.0,0.0,2020-05-29 15:51:30
95,Codrington,AU,-38.27,141.97,50.41,50.41,70,0,14.32,clear sky,0.0,0.0,2020-05-29 15:51:30
96,Asau,RO,46.43,26.4,55.99,55.99,67,91,5.82,light rain,0.69,0.0,2020-05-29 15:48:31
97,Luanda,AO,-8.84,13.23,78.8,78.8,83,29,4.7,scattered clouds,0.0,0.0,2020-05-29 15:47:28
98,Aklavik,CA,68.22,-135.01,37.4,37.4,71,40,12.75,scattered clouds,0.0,0.0,2020-05-29 15:51:30
99,Townsville,AU,-19.25,146.8,66.0,62.6,93,86,4.18,overcast clouds,0.0,0.0,2020-05-29 15:51:30
100,Alice Springs,AU,-23.7,133.88,48.2,48.2,42,0,7.45,clear sky,0.0,0.0,2020-05-29 15:49:16
101,Beringovskiy,RU,63.05,179.32,35.19,35.19,97,100,12.5,light rain,0.94,0.0,2020-05-29 15:51:31
102,Mezen,RU,65.85,44.24,49.96,49.96,54,76,7.45,broken clouds,0.0,0.0,2020-05-29 15:51:31
103,Belaya,UA,49.03,25.77,52.16,52.16,90,100,13.82,light rain,0.18,0.0,2020-05-29 15:51:31
104,Drovyanaya,RU,51.58,113.03,42.8,42.8,93,100,6.71,moderate rain,1.18,0.0,2020-05-29 15:51:31
105,Owasso,US,36.27,-95.85,73.99,73.0,53,1,5.82,clear sky,0.0,0.0,2020-05-29 15:49:31
106,Saint-Pierre,RE,-21.34,55.48,73.4,61.0,78,31,6.93,scattered clouds,0.0,0.0,2020-05-29 15:48:59
107,Airai,TL,-8.93,125.41,58.55,58.55,100,98,1.32,overcast clouds,0.0,0.0,2020-05-29 15:51:31
108,Victoria,HK,22.29,114.16,80.01,79.0,86,94,5.01,light rain,0.42,0.0,2020-05-29 15:50:25
109,Atuona,PF,-9.8,-139.03,81.23,81.23,74,4,17.22,clear sky,0.0,0.0,2020-05-29 15:51:32
110,Marsh Harbour,BS,26.54,-77.06,79.77,79.77,79,52,15.93,broken clouds,0.0,0.0,2020-05-29 15:48:21
111,Anadyr,RU,64.75,177.48,35.6,35.01,100,75,26.84,mist,0.0,0.0,2020-05-29 15:51:32
112,Sisimiut,GL,66.94,-53.67,35.47,35.47,82,39,13.33,scattered clouds,0.0,0.0,2020-05-29 15:49:40
113,Wagar,SD,16.15,36.2,104.52,104.52,9,35,14.9,scattered clouds,0.0,0.0,2020-05-29 15:51:32
114,Hue,VN,16.47,107.6,78.8,78.8,88,40,4.7,scattered clouds,0.0,0.0,2020-05-29 15:51:20
115,Puli,TW,23.97,120.97,80.01,77.0,88,75,6.93,broken clouds,0.0,0.0,2020-05-29 15:51:32
116,Bretcu,RO,46.05,26.3,55.99,52.0,84,99,1.99,moderate rain,1.04,0.0,2020-05-29 15:51:32
117,Calvinia,ZA,-31.47,19.78,57.92,57.92,66,73,4.05,broken clouds,0.0,0.0,2020-05-29 15:51:33
118,East London,ZA,-33.02,27.91,66.09,66.09,60,100,19.69,overcast clouds,0.0,0.0,2020-05-29 15:51:33
119,Paraiso,CR,9.84,-83.87,73.4,69.8,83,75,3.36,broken clouds,0.0,0.0,2020-05-29 15:51:33
120,Praia Da Vitoria,PT,38.73,-27.07,68.0,68.0,60,40,2.68,scattered clouds,0.0,0.0,2020-05-29 15:51:33
121,Fez,MA,34.04,-5.0,93.2,93.2,24,0,10.29,clear sky,0.0,0.0,2020-05-29 15:51:33
122,Castro,BR,-24.79,-50.01,68.47,68.47,48,0,5.68,clear sky,0.0,0.0,2020-05-29 15:48:57
123,Ouango,CF,4.31,22.56,76.26,76.26,87,100,5.01,overcast clouds,0.0,0.0,2020-05-29 15:51:33
124,Cabedelo,BR,-6.98,-34.83,75.2,75.2,100,75,12.75,broken clouds,0.0,0.0,2020-05-29 15:51:33
125,Torbay,CA,47.67,-52.73,80.01,77.0,57,75,13.87,broken clouds,0.0,0.0,2020-05-29 15:51:33
126,Hualmay,PE,-11.1,-77.61,71.65,71.65,68,2,10.58,clear sky,0.0,0.0,2020-05-29 15:48:40
127,Menomonie,US,44.88,-91.92,57.99,57.2,54,90,16.11,overcast clouds,0.0,0.0,2020-05-29 15:51:34
128,Goderich,CA,43.75,-81.72,75.0,55.99,94,97,3.0,light rain,0.69,0.0,2020-05-29 15:51:34
129,Haicheng,CN,40.85,122.75,61.39,61.39,58,86,8.48,overcast clouds,0.0,0.0,2020-05-29 15:51:34
130,Dingle,PH,11.0,122.67,79.81,79.81,79,76,4.38,broken clouds,0.0,0.0,2020-05-29 15:51:34
131,Altona,DE,53.55,9.93,71.6,69.8,30,3,6.93,clear sky,0.0,0.0,2020-05-29 15:51:34
132,Nanortalik,GL,60.14,-45.24,36.97,36.97,80,85,20.42,overcast clouds,0.0,0.0,2020-05-29 15:51:34
133,Lebu,CL,-37.62,-73.65,52.3,52.3,57,0,12.5,clear sky,0.0,0.0,2020-05-29 15:51:34
134,Padang,ID,-0.95,100.35,81.48,81.48,80,100,3.49,overcast clouds,0.0,0.0,2020-05-29 15:51:34
135,Itoman,JP,26.12,127.67,77.0,75.2,69,75,10.29,broken clouds,0.0,0.0,2020-05-29 15:48:39
136,Khatanga,RU,71.97,102.5,34.5,34.5,94,100,9.82,light snow,0.0,0.27,2020-05-29 15:51:35
137,Broome,US,42.25,-75.83,81.0,75.2,73,20,13.87,light rain,0.76,0.0,2020-05-29 15:49:42
138,Trofors,NO,65.53,13.41,48.2,48.0,81,75,4.7,broken clouds,0.0,0.0,2020-05-29 15:51:35
139,Acarau,BR,-2.89,-40.12,85.96,85.96,70,74,10.89,broken clouds,0.0,0.0,2020-05-29 15:51:35
140,Lihula,EE,58.68,23.85,57.0,57.0,60,0,15.01,clear sky,0.0,0.0,2020-05-29 15:51:35
141,Pangkalanbuun,ID,-2.68,111.62,76.3,76.3,87,0,3.06,clear sky,0.0,0.0,2020-05-29 15:51:35
142,Nuevo Progreso,MX,23.17,-97.95,86.02,86.02,60,97,10.36,moderate rain,1.79,0.0,2020-05-29 15:51:35
143,Sirajganj,BD,24.45,89.72,84.92,84.92,74,74,15.08,moderate rain,1.55,0.0,2020-05-29 15:51:36
144,Saskylakh,RU,71.92,114.08,33.98,33.98,88,61,3.94,broken clouds,0.0,0.0,2020-05-29 15:51:36
145,Port-Gentil,GA,-0.72,8.78,84.2,84.2,74,40,18.34,scattered clouds,0.0,0.0,2020-05-29 15:51:36
146,Carballo,ES,43.21,-8.69,90.0,66.99,69,15,8.05,few clouds,0.0,0.0,2020-05-29 15:51:36
147,Kapaa,US,22.08,-159.32,73.4,66.0,78,20,11.41,few clouds,0.0,0.0,2020-05-29 15:51:36
