City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Manacapuru,BR,84.2,light rain,-3.3,-60.62,Novo Hotel
464,Anekal,IN,71.6,thunderstorm with rain,12.7,77.7,Hotel Mayura Nisarga Pearl Valley
465,Matadi,CD,86.94,scattered clouds,-5.82,13.45,Hotel Fortune
466,Wewak,PG,79.74,overcast clouds,-3.55,143.63,In Wewak Boutique Hotel
467,Grand Gaube,MU,75.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
468,Haimen,CN,77.0,mist,23.19,116.61,Jinghao Business Hotel
473,Ullal,IN,86.0,few clouds,12.8,74.85,AK INTERNATIONAL LODGE
476,Sao Paulo De Olivenca,BR,75.63,overcast clouds,-3.38,-68.87,
477,Kismayo,SO,80.15,overcast clouds,-0.36,42.55,Agan-Hotel
478,Pochutla,MX,87.01,scattered clouds,15.74,-96.47,Hotel Posada San Jose
479,Paveh,IR,73.85,broken clouds,35.04,46.36,بنگاه معاملات ملکی
484,Banda Aceh,ID,81.59,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
486,Sungairaya,ID,80.01,few clouds,0.7,108.9,808 artel
487,Great Bend,US,75.0,clear sky,38.36,-98.76,Best Western Angus Inn
488,Hami,CN,71.91,clear sky,42.8,93.45,Laoyutang Resort
489,Jining,CN,70.83,clear sky,35.41,116.58,Yunhe Star Hotel
490,Menongue,AO,72.21,clear sky,-14.66,17.69,Ritz Lauca
491,Ascension,US,80.01,broken clouds,30.22,-90.9,Highland Inn
501,Rubiataba,BR,77.74,clear sky,-15.16,-49.8,Pousada dos anjos
504,Coahuayana,MX,77.0,smoke,18.73,-103.68,Hotel Los Arcos
508,Santa Marta,CO,87.8,broken clouds,11.24,-74.2,Hotel La Ballena Azul
511,Kalengwa,ZM,70.29,clear sky,-13.47,25.0,
513,Waingapu,ID,77.85,broken clouds,-9.66,120.26,Pondok Wisata Elim
514,Millinocket,US,78.8,clear sky,45.66,-68.71,Katahdin Inn & Suites
521,Urrao,CO,73.4,haze,6.32,-76.13,Finca Hotel Las Araucarias
524,Payo,ID,75.29,broken clouds,-3.75,103.64,Mess keban agung
525,Progreso,MX,87.8,broken clouds,21.28,-89.67,Playa Linda Hotel
526,Santa Lucia,ES,77.0,few clouds,27.91,-15.54,Hotel Viverde Las Tirajanas
528,Nacala,MZ,75.4,clear sky,-14.54,40.67,Nacala Plaza Business Design Hotel
531,Isla Mujeres,MX,86.0,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
533,Houma,US,84.0,broken clouds,29.6,-90.72,Courtyard by Marriott Houma
535,Lasa,IT,77.0,scattered clouds,46.62,10.7,Pension Feldgärtenhof
538,Sumbe,AO,80.6,overcast clouds,-11.21,13.84,Hotel Ritz Sumbe
539,Agucadoura,PT,86.0,clear sky,41.43,-8.78,Varzinn Hotel
540,Sechura,PE,78.42,clear sky,-5.56,-80.82,Hospedaje Costa Bella
541,Kailua,US,82.4,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
542,Abonnema,NG,84.2,broken clouds,4.71,6.79,Corper's Lodge Obonoma
544,Bartica,GY,75.2,heavy intensity rain,6.4,-58.62,La Vista Hotel and Apartment
549,Sabinopolis,BR,70.38,clear sky,-18.67,-43.08,Hotel São Joaquim
550,Chokwe,MZ,71.62,clear sky,-24.53,32.98,Complexo Sonho Real
555,Eyl,SO,83.8,overcast clouds,7.98,49.82,Amiin Hotel
556,Ravar,IR,86.0,clear sky,31.27,56.81,computertik
